episode,epsilon,total_reward,steps,rolling_reward_100
1859,0.6284000000000001,0.4957797307549616,10,-0.21694821394618796
1860,0.6282,-2.319252493948494,10,-0.2523504021591813
1861,0.628,-0.1516812764079477,10,-0.29075860463404923
1862,0.6278,-4.506966168812693,10,-0.29606888509706697
1863,0.6275999999999999,-1.0727293776364246,10,-0.2843193965270623
1864,0.6274,-1.6725053141889001,10,-0.2622651778050282
1865,0.6272,-3.058083308935768,10,-0.30385387932636043
1866,0.627,0.40350027902134994,10,-0.2767753661655523
1867,0.6268,3.0442780777730873,10,-0.25172243020393387
1868,0.6266,1.2663525327456293,10,-0.21340357473022373
1869,0.6264000000000001,-4.620152805447556,10,-0.23927710965660032
1870,0.6262,-2.889893967173195,10,-0.2548518197153892
1871,0.626,-0.06552064241599287,10,-0.24217822397023803
1872,0.6258,2.393875221585806,10,-0.24856529188652984
1873,0.6255999999999999,1.7103406017502543,10,-0.22546072254761923
1874,0.6254,-0.3017914719087367,10,-0.25186462880428767
1875,0.6252,3.1176987382178893,10,-0.1475230499384237
1876,0.625,0.17115136451797358,10,-0.1677544026504915
1877,0.6248,1.278986311809403,10,-0.18403224159872514
1878,0.6246,2.404186270354808,10,-0.12169627399697891
1879,0.6244000000000001,-0.12646378431976357,10,-0.12822988942598468
1880,0.6242,-4.021208736277381,10,-0.18173946581268347
1881,0.624,2.029297850695555,10,-0.11038029795251353
1882,0.6238,1.7925757737415264,10,-0.11911193981218504
1883,0.6235999999999999,3.7745486308851657,10,-0.03974090296295725
1884,0.6234,0.2574372913502643,10,-0.033718782451115106
1885,0.6232,-0.4122615180920026,10,-0.02419549019202065
1886,0.623,2.47450639677719,10,0.007028799882894543
1887,0.6228,-1.968082649364465,10,-0.06756210981986507
1888,0.6226,-3.4026030068682958,10,-0.09340511135440266
1889,0.6224000000000001,1.1280690386609038,10,-0.07270723468288588
1890,0.6222,2.2299936897087447,10,-0.06912305481238325
1891,0.622,-0.7816780851231319,10,-0.09753656024491691
1892,0.6218,0.2648876986398863,10,-0.031253461777478224
1893,0.6215999999999999,-0.4893218995699655,10,-0.07269614956080114
1894,0.6214,1.7042057258832588,10,-0.02955586411056876
1895,0.6212,0.8683848135113637,10,-0.023749330697376402
1896,0.621,1.749097743904288,10,0.03268005558932008
1897,0.6208,4.4830126966187285,10,0.06376992482253914
1898,0.6206,-1.589006955589558,10,0.07224405999531348
1899,0.6204000000000001,-0.8715513524541834,10,0.04557684608532922
1900,0.6202,2.375103186871411,10,0.06277076627797944
1901,0.62,-0.6790612700631802,10,0.04901863913042133
1902,0.6198,1.6902803140928966,10,0.08804557856066811
1903,0.6195999999999999,1.3737819064162615,10,0.09472508361598635
1904,0.6194,-1.7606966787336722,10,0.06325279724286324
1905,0.6192,-1.111846574020792,10,0.052530790659407856
1906,0.619,-2.4509677802761853,10,0.007069420479452173
1907,0.6188,-4.0972053243395425,10,-0.030995235422596582
1908,0.6186,-4.054430259529026,10,-0.06783678026316477
1909,0.6184000000000001,-1.7781221251383281,10,-0.12996505693194824
