solution_id,GDP_gain,Inequality_MAD,Emission,Net_security_risk,Total_budget,H_total,Max_digital_after,Min_digital_after,C1_total_budget,C2_region_floor,C3_region_cap,C4_H_floor,C5_fairness,TOPSIS_score,TOPSIS_rank
72,47683.988982073126,0.27415082557373005,2149.3547209040753,-4057.7264183827037,49955.05073171835,18667.575111521113,82.00000668268605,55.78874330859849,0.0,0.0,0.0,0.0,0.0,0.6318291075514013,47
73,49106.684851263824,0.24432418945900328,5059.120722704824,-407.67177781838336,49909.522688563186,13960.49114964655,82.00011086323879,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.1483210312594909,94
74,48978.79033315837,0.21032403531246527,4865.611382809389,-541.5322347299366,49956.173004293465,14460.035565513468,82.00011086323879,55.78931692706149,0.0,0.0,0.0,0.0,0.0,0.2187642512955229,87
75,48092.37241164503,0.22672299103157612,3000.483282418853,-3245.876107575976,49800.756971176874,17563.437199978685,82.00011472731275,55.774706932304895,0.0,0.0,0.0,0.0,0.0,0.5395850828424883,60
76,46385.53927156926,0.23635535072382305,1162.120566287959,-4735.400518477172,49521.34525885905,18781.004920597443,82.00011655433163,55.776485600472164,0.0,0.0,0.0,0.0,0.0,0.8038790552144115,14
77,47213.078255430824,0.245853191273568,2192.9910132457826,-4003.702915733729,49617.94803892092,18347.810882961458,82.00011458491342,55.91238530474009,0.0,0.0,0.0,0.0,0.0,0.6629007352489862,41
78,49278.85550387707,0.2528802682206888,5069.368562327708,-298.03364591446325,49972.45365724416,14009.578820134824,82.00011436457831,55.785932820776,0.0,0.0,0.0,0.0,0.0,0.1354783879449861,97
79,48419.41668520468,0.2539442088759585,4613.494232128471,-1565.9846119520585,49997.820463809636,14836.838109910945,82.00011442756276,55.787877955239125,0.0,0.0,0.0,0.0,0.0,0.2124450468866652,88
80,46936.43909603279,0.2131514740546036,2111.2576836297217,-3617.9371804147904,49579.2697180469,17513.78431756326,82.00011594170883,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.6874916763043524,38
81,49179.30641767801,0.24262635445108524,5066.590956777072,-418.7891138378295,49981.06419095837,14011.898798578117,82.00011086323879,55.785448235912796,0.0,0.0,0.0,0.0,0.0,0.1521811057687252,93
82,48350.59321291078,0.20686718250000302,4174.523169751262,-1060.4343608971326,49915.70804495338,14335.003182327542,82.00011086323879,55.7898739749366,0.0,0.0,0.0,0.0,0.0,0.2876908255484931,81
83,47697.81789667459,0.22881774215751838,2513.167414433912,-3824.625267082487,49958.84186883654,18383.927756247074,82.0001182884594,55.77686954092283,0.0,0.0,0.0,0.0,0.0,0.6366481866404029,44
84,47687.44436704698,0.17975910630491954,3141.708260787564,-2381.357120858547,49838.09165657773,16185.46460215654,82.00011609697732,55.78539169822102,0.0,0.0,0.0,0.0,0.0,0.5050800296911666,65
85,47410.42384687897,0.26030790941726994,2457.960363586081,-3652.215906659544,49634.01064541128,18046.094202973974,82.00011086196864,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.5936328649574782,53
86,47675.55086940415,0.17961018016183722,3141.72001812238,-2378.7625250405135,49829.185333288944,16178.062625035987,82.00011609697732,55.78539169822102,0.0,0.0,0.0,0.0,0.0,0.505009003341796,66
87,45956.75617543186,0.2269061335461886,1191.5365373383677,-4711.584657553035,48997.86106309577,18765.00038082747,82.000116135494,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.818156098355601,7
88,44315.24463629464,0.2138002690770822,1139.8885109209343,-4340.050034160675,47793.177511002126,17577.25238431905,82.00011411875387,55.77582636128645,0.0,0.0,0.0,0.0,0.0,0.810828808691078,10
89,48485.83770309572,0.2177101623353182,4821.483777750181,-498.24609031549153,49555.336735897596,14172.485423442018,82.00011075558402,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.20178891879810518,90
90,47334.97230686584,0.25932883357051767,2430.4041489725914,-3652.215906659544,49568.40061061726,18046.094202973974,82.00011086196864,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.5977091131238301,52
91,48337.29871921854,0.20663852798793864,4808.547733519887,-1252.6158720927897,49947.234584460384,14104.10639805076,82.0001106351492,55.78546247471547,0.0,0.0,0.0,0.0,0.0,0.2512544033411946,85
92,46350.9151181748,0.18595042795727712,1227.499095520087,-4500.946244375787,49677.86736560108,18275.428355906686,82.0001161451651,55.78527141581268,0.0,0.0,0.0,0.0,0.0,0.8740690535766509,1
93,47528.3824863336,0.21209005137606984,2471.3908214482294,-3525.985193902763,49959.14644535946,17169.914928555132,82.00011464946297,55.764562569589415,0.0,0.0,0.0,0.0,0.0,0.6392613698930517,43
94,48064.959512524525,0.19641187452707756,2663.0478761509994,-3455.3792250592282,49952.50459762754,18530.04858243973,82.00011090028833,55.78472980561124,0.0,0.0,0.0,0.0,0.0,0.6251759900800122,50
95,46013.79316831355,0.22869254494803587,1193.9407174470218,-4673.521683674518,49152.614457605334,18632.537289661374,82.00011654972654,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.8131876973718636,9
96,47282.472029344164,0.1776977298940291,3195.4017087195643,-2560.527618504171,49949.7890287362,16563.658543908998,82.00011621093176,55.77607731570653,0.0,0.0,0.0,0.0,0.0,0.5116159129590654,63
97,48139.468441030396,0.2116017658684996,4078.470591207648,-1164.4933710969744,49776.48467176671,14368.264382042993,82.0001291361041,55.79001018915214,0.0,0.0,0.0,0.0,0.0,0.29338595000378814,76
98,45780.61428775899,0.22436360217259435,1193.9407174470218,-4673.521683674518,48878.286362835264,18632.537289661374,82.00011654972654,55.78473809356595,0.0,0.0,0.0,0.0,0.0,0.820179228264022,6
99,47387.82806023122,0.2598903753928436,2473.2042396536153,-3610.6105765209604,49651.306374283486,17985.149890497116,82.00011086323879,55.78545034153515,0.0,0.0,0.0,0.0,0.0,0.5897665898794539,55
